id,name,doc_ids
2014年,2014年,doc-ca532c518f704809a3340c2e77a6ad52
20世纪90年代,20世纪90年代,doc-ca532c518f704809a3340c2e77a6ad52
20世纪第二个10年,20世纪第二个10年,doc-ca532c518f704809a3340c2e77a6ad52
21世纪,21世纪,doc-ca532c518f704809a3340c2e77a6ad52
ACL,ACL,doc-ca532c518f704809a3340c2e77a6ad52
BLEU,BLEU,doc-ca532c518f704809a3340c2e77a6ad52
EMNLP,EMNLP,doc-ca532c518f704809a3340c2e77a6ad52
Google DeepMind,Google DeepMind,doc-ca532c518f704809a3340c2e77a6ad52
IBM模型,IBM模型,doc-ca532c518f704809a3340c2e77a6ad52
IBM研究中心,IBM研究中心,doc-ca532c518f704809a3340c2e77a6ad52
MERT方法,MERT方法,doc-ca532c518f704809a3340c2e77a6ad52
PyTorch,PyTorch,doc-ca532c518f704809a3340c2e77a6ad52
SMILES码,SMILES码,doc-ca532c518f704809a3340c2e77a6ad52
TensorFlow,TensorFlow,doc-ca532c518f704809a3340c2e77a6ad52
n元语言模型,n元语言模型,doc-ca532c518f704809a3340c2e77a6ad52
上海,上海,doc-ca532c518f704809a3340c2e77a6ad52
上海交通大学,上海交通大学,doc-ca532c518f704809a3340c2e77a6ad52
中国,中国,doc-ca532c518f704809a3340c2e77a6ad52
人工智能,人工智能,doc-ca532c518f704809a3340c2e77a6ad52
人类基因组序列,人类基因组序列,doc-ca532c518f704809a3340c2e77a6ad52
人类语言,人类语言,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,修饰语附着问题,doc-ca532c518f704809a3340c2e77a6ad52
印欧语系,印欧语系,doc-ca532c518f704809a3340c2e77a6ad52
双语平行语料库,双语平行语料库,doc-ca532c518f704809a3340c2e77a6ad52
双语词典,双语词典,doc-ca532c518f704809a3340c2e77a6ad52
古特雷斯,古特雷斯,doc-ca532c518f704809a3340c2e77a6ad52
句子结构,句子结构,doc-ca532c518f704809a3340c2e77a6ad52
句法,句法,doc-ca532c518f704809a3340c2e77a6ad52
句法分析,句法分析,doc-ca532c518f704809a3340c2e77a6ad52
听众模型,听众模型,doc-ca532c518f704809a3340c2e77a6ad52
命名实体,命名实体,doc-ca532c518f704809a3340c2e77a6ad52
哲学,哲学,doc-ca532c518f704809a3340c2e77a6ad52
图1.2,图1.2,doc-ca532c518f704809a3340c2e77a6ad52
图形处理器,图形处理器,doc-ca532c518f704809a3340c2e77a6ad52
外部知识,外部知识,doc-ca532c518f704809a3340c2e77a6ad52
多轮对话,多轮对话,doc-ca532c518f704809a3340c2e77a6ad52
学术出版体系,学术出版体系,doc-ca532c518f704809a3340c2e77a6ad52
实体关系,实体关系,doc-ca532c518f704809a3340c2e77a6ad52
对话系统,对话系统,doc-ca532c518f704809a3340c2e77a6ad52
对话规则,对话规则,doc-ca532c518f704809a3340c2e77a6ad52
巴希勒悖论,巴希勒悖论,doc-ca532c518f704809a3340c2e77a6ad52
常识,常识,doc-ca532c518f704809a3340c2e77a6ad52
常识知识,常识知识,doc-ca532c518f704809a3340c2e77a6ad52
广义符号处理,广义符号处理,doc-ca532c518f704809a3340c2e77a6ad52
形式语义,形式语义,doc-ca532c518f704809a3340c2e77a6ad52
形态分析,形态分析,doc-ca532c518f704809a3340c2e77a6ad52
德语,德语,doc-ca532c518f704809a3340c2e77a6ad52
心理学,心理学,doc-ca532c518f704809a3340c2e77a6ad52
心理语言学,心理语言学,doc-ca532c518f704809a3340c2e77a6ad52
情感分析,情感分析,doc-ca532c518f704809a3340c2e77a6ad52
情感判断,情感判断,doc-ca532c518f704809a3340c2e77a6ad52
意图识别,意图识别,doc-ca532c518f704809a3340c2e77a6ad52
拟人反馈,拟人反馈,doc-ca532c518f704809a3340c2e77a6ad52
数学基础课程,数学基础课程,doc-ca532c518f704809a3340c2e77a6ad52
文本,文本,doc-ca532c518f704809a3340c2e77a6ad52
新型冠状病毒肺炎,新型冠状病毒肺炎,doc-ca532c518f704809a3340c2e77a6ad52
日语,日语,doc-ca532c518f704809a3340c2e77a6ad52
最小错误率训练,最小错误率训练,doc-ca532c518f704809a3340c2e77a6ad52
最终用户,最终用户,doc-ca532c518f704809a3340c2e77a6ad52
机器学习,机器学习,doc-ca532c518f704809a3340c2e77a6ad52
机器翻译,机器翻译,doc-ca532c518f704809a3340c2e77a6ad52
机器阅读理解,机器阅读理解,doc-ca532c518f704809a3340c2e77a6ad52
歧义问题,歧义问题,doc-ca532c518f704809a3340c2e77a6ad52
